Net generation from coal for Texas (region) hourly - local time
https://www.eia.gov/opendata/qb.php?category=3390118&sdid=EBA.TEX-ALL.NG.COL.HL
20:43:34 GMT-0600 (CST)
Source: U.S. Energy Information Administration
Category,Series ID: EBA.TEX-ALL.NG.COL.HL megawatthours
02/20/21 00:00 -0600,8980
02/19/21 23:00 -0600,9564
02/19/21 22:00 -0600,9589
02/19/21 21:00 -0600,9703
02/19/21 20:00 -0600,9876
02/19/21 19:00 -0600,9612
02/19/21 18:00 -0600,7058
02/19/21 17:00 -0600,5630
02/19/21 16:00 -0600,5736
02/19/21 15:00 -0600,6303
02/19/21 14:00 -0600,7578
02/19/21 13:00 -0600,8631
02/19/21 12:00 -0600,9752
02/19/21 11:00 -0600,9917
02/19/21 10:00 -0600,9889
02/19/21 09:00 -0600,9756
02/19/21 08:00 -0600,9524
02/19/21 07:00 -0600,9249
02/19/21 06:00 -0600,9130
02/19/21 05:00 -0600,9166
02/19/21 04:00 -0600,9518
02/19/21 03:00 -0600,9401
02/19/21 02:00 -0600,9233
02/19/21 01:00 -0600,9064
02/19/21 00:00 -0600,9340
02/18/21 23:00 -0600,9832
02/18/21 22:00 -0600,9731
02/18/21 21:00 -0600,9758
02/18/21 20:00 -0600,9834
02/18/21 19:00 -0600,9421
02/18/21 18:00 -0600,8439
02/18/21 17:00 -0600,6768
02/18/21 16:00 -0600,6607
02/18/21 15:00 -0600,7393
02/18/21 14:00 -0600,8134
02/18/21 13:00 -0600,8427
02/18/21 12:00 -0600,8474
02/18/21 11:00 -0600,8065
02/18/21 10:00 -0600,7930
02/18/21 09:00 -0600,7811
02/18/21 08:00 -0600,7664
02/18/21 07:00 -0600,7614
02/18/21 06:00 -0600,7565
02/18/21 05:00 -0600,7588
02/18/21 04:00 -0600,7397
02/18/21 03:00 -0600,7581
02/18/21 02:00 -0600,7574
02/18/21 01:00 -0600,7636
02/18/21 00:00 -0600,7676
02/17/21 23:00 -0600,7668
02/17/21 22:00 -0600,7771
02/17/21 21:00 -0600,7788
02/17/21 20:00 -0600,7903
02/17/21 19:00 -0600,7864
02/17/21 18:00 -0600,7818
02/17/21 17:00 -0600,7585
02/17/21 16:00 -0600,7379
02/17/21 15:00 -0600,7377
02/17/21 14:00 -0600,7779
02/17/21 13:00 -0600,7735
02/17/21 12:00 -0600,7708
02/17/21 11:00 -0600,7462
02/17/21 10:00 -0600,7389
02/17/21 09:00 -0600,7383
02/17/21 08:00 -0600,7262
02/17/21 07:00 -0600,7099
02/17/21 06:00 -0600,6924
02/17/21 05:00 -0600,6709
02/17/21 04:00 -0600,6569
02/17/21 03:00 -0600,6406
02/17/21 02:00 -0600,6274
02/17/21 01:00 -0600,6475
02/17/21 00:00 -0600,7163
02/16/21 23:00 -0600,7127
02/16/21 22:00 -0600,7101
02/16/21 21:00 -0600,7200
02/16/21 20:00 -0600,7217
02/16/21 19:00 -0600,7156
02/16/21 18:00 -0600,7120
02/16/21 17:00 -0600,7020
02/16/21 16:00 -0600,7081
02/16/21 15:00 -0600,7098
02/16/21 14:00 -0600,6896
02/16/21 13:00 -0600,6861
02/16/21 12:00 -0600,6961
02/16/21 11:00 -0600,7115
02/16/21 10:00 -0600,7179
02/16/21 09:00 -0600,7303
02/16/21 08:00 -0600,7523
02/16/21 07:00 -0600,7603
02/16/21 06:00 -0600,7694
02/16/21 05:00 -0600,7825
02/16/21 04:00 -0600,7873
02/16/21 03:00 -0600,7779
02/16/21 02:00 -0600,7766
02/16/21 01:00 -0600,7774
02/16/21 00:00 -0600,7725
02/15/21 23:00 -0600,8040
02/15/21 22:00 -0600,8099
02/15/21 21:00 -0600,8140
02/15/21 20:00 -0600,8023
02/15/21 19:00 -0600,8158
02/15/21 18:00 -0600,7938
02/15/21 17:00 -0600,7635
02/15/21 16:00 -0600,7650
02/15/21 15:00 -0600,7646
02/15/21 14:00 -0600,7647
02/15/21 13:00 -0600,7699
02/15/21 12:00 -0600,7896
02/15/21 11:00 -0600,8311
02/15/21 10:00 -0600,8559
02/15/21 09:00 -0600,8659
02/15/21 08:00 -0600,8855
02/15/21 07:00 -0600,8880
02/15/21 06:00 -0600,8996
02/15/21 05:00 -0600,9552
02/15/21 04:00 -0600,9345
02/15/21 03:00 -0600,9314
02/15/21 02:00 -0600,11065
02/15/21 01:00 -0600,10823
02/15/21 00:00 -0600,10754
02/14/21 23:00 -0600,10698
02/14/21 22:00 -0600,10700
02/14/21 21:00 -0600,10759
02/14/21 20:00 -0600,10829
02/14/21 19:00 -0600,10864
02/14/21 18:00 -0600,10855
02/14/21 17:00 -0600,10864
02/14/21 16:00 -0600,10710
02/14/21 15:00 -0600,10600
02/14/21 14:00 -0600,10758
02/14/21 13:00 -0600,11099
02/14/21 12:00 -0600,11145
02/14/21 11:00 -0600,11127
02/14/21 10:00 -0600,11110
02/14/21 09:00 -0600,11056
02/14/21 08:00 -0600,11032
02/14/21 07:00 -0600,11023
02/14/21 06:00 -0600,11056
02/14/21 05:00 -0600,11052
02/14/21 04:00 -0600,11029
02/14/21 03:00 -0600,11022
02/14/21 02:00 -0600,11005
02/14/21 01:00 -0600,11002
02/14/21 00:00 -0600,11036
02/13/21 23:00 -0600,11010
