Net generation from hydro for Texas (region) hourly - local time
https://www.eia.gov/opendata/qb.php?category=3390118&sdid=EBA.TEX-ALL.NG.WAT.HL
22:00:29 GMT-0600 (CST)
Source: U.S. Energy Information Administration
Category,Series ID: EBA.TEX-ALL.NG.WAT.HL megawatthours
02/20/21 00:00 -0600,95
02/19/21 23:00 -0600,95
02/19/21 22:00 -0600,95
02/19/21 21:00 -0600,96
02/19/21 20:00 -0600,95
02/19/21 19:00 -0600,128
02/19/21 18:00 -0600,129
02/19/21 17:00 -0600,129
02/19/21 16:00 -0600,95
02/19/21 15:00 -0600,95
02/19/21 14:00 -0600,96
02/19/21 13:00 -0600,96
02/19/21 12:00 -0600,114
02/19/21 11:00 -0600,99
02/19/21 10:00 -0600,99
02/19/21 09:00 -0600,99
02/19/21 08:00 -0600,100
02/19/21 07:00 -0600,100
02/19/21 06:00 -0600,100
02/19/21 05:00 -0600,100
02/19/21 04:00 -0600,100
02/19/21 03:00 -0600,100
02/19/21 02:00 -0600,100
02/19/21 01:00 -0600,99
02/19/21 00:00 -0600,96
02/18/21 23:00 -0600,96
02/18/21 22:00 -0600,96
02/18/21 21:00 -0600,97
02/18/21 20:00 -0600,96
02/18/21 19:00 -0600,97
02/18/21 18:00 -0600,96
02/18/21 17:00 -0600,130
02/18/21 16:00 -0600,130
02/18/21 15:00 -0600,95
02/18/21 14:00 -0600,95
02/18/21 13:00 -0600,95
02/18/21 12:00 -0600,101
02/18/21 11:00 -0600,99
02/18/21 10:00 -0600,99
02/18/21 09:00 -0600,99
02/18/21 08:00 -0600,98
02/18/21 07:00 -0600,98
02/18/21 06:00 -0600,99
02/18/21 05:00 -0600,98
02/18/21 04:00 -0600,99
02/18/21 03:00 -0600,99
02/18/21 02:00 -0600,99
02/18/21 01:00 -0600,99
02/18/21 00:00 -0600,95
02/17/21 23:00 -0600,96
02/17/21 22:00 -0600,95
02/17/21 21:00 -0600,95
02/17/21 20:00 -0600,96
02/17/21 19:00 -0600,95
02/17/21 18:00 -0600,95
02/17/21 17:00 -0600,95
02/17/21 16:00 -0600,95
02/17/21 15:00 -0600,95
02/17/21 14:00 -0600,95
02/17/21 13:00 -0600,95
02/17/21 12:00 -0600,99
02/17/21 11:00 -0600,100
02/17/21 10:00 -0600,99
02/17/21 09:00 -0600,106
02/17/21 08:00 -0600,107
02/17/21 07:00 -0600,126
02/17/21 06:00 -0600,99
02/17/21 05:00 -0600,99
02/17/21 04:00 -0600,99
02/17/21 03:00 -0600,99
02/17/21 02:00 -0600,99
02/17/21 01:00 -0600,98
02/17/21 00:00 -0600,99
02/16/21 23:00 -0600,101
02/16/21 22:00 -0600,102
02/16/21 21:00 -0600,102
02/16/21 20:00 -0600,102
02/16/21 19:00 -0600,101
02/16/21 18:00 -0600,102
02/16/21 17:00 -0600,101
02/16/21 16:00 -0600,100
02/16/21 15:00 -0600,101
02/16/21 14:00 -0600,100
02/16/21 13:00 -0600,96
02/16/21 12:00 -0600,96
02/16/21 11:00 -0600,96
02/16/21 10:00 -0600,132
02/16/21 09:00 -0600,193
02/16/21 08:00 -0600,159
02/16/21 07:00 -0600,101
02/16/21 06:00 -0600,107
02/16/21 05:00 -0600,159
02/16/21 04:00 -0600,104
02/16/21 03:00 -0600,96
02/16/21 02:00 -0600,95
02/16/21 01:00 -0600,95
02/16/21 00:00 -0600,100
02/15/21 23:00 -0600,100
02/15/21 22:00 -0600,101
02/15/21 21:00 -0600,100
02/15/21 20:00 -0600,101
02/15/21 19:00 -0600,115
02/15/21 18:00 -0600,115
02/15/21 17:00 -0600,103
02/15/21 16:00 -0600,103
02/15/21 15:00 -0600,103
02/15/21 14:00 -0600,105
02/15/21 13:00 -0600,136
02/15/21 12:00 -0600,143
02/15/21 11:00 -0600,142
02/15/21 10:00 -0600,143
02/15/21 09:00 -0600,143
02/15/21 08:00 -0600,165
02/15/21 07:00 -0600,145
02/15/21 06:00 -0600,292
02/15/21 05:00 -0600,297
02/15/21 04:00 -0600,154
02/15/21 03:00 -0600,247
02/15/21 02:00 -0600,343
02/15/21 01:00 -0600,337
02/15/21 00:00 -0600,184
02/14/21 23:00 -0600,107
02/14/21 22:00 -0600,144
02/14/21 21:00 -0600,143
02/14/21 20:00 -0600,142
02/14/21 19:00 -0600,141
02/14/21 18:00 -0600,141
02/14/21 17:00 -0600,141
02/14/21 16:00 -0600,141
02/14/21 15:00 -0600,141
02/14/21 14:00 -0600,141
02/14/21 13:00 -0600,142
02/14/21 12:00 -0600,137
02/14/21 11:00 -0600,137
02/14/21 10:00 -0600,137
02/14/21 09:00 -0600,138
02/14/21 08:00 -0600,137
02/14/21 07:00 -0600,137
02/14/21 06:00 -0600,137
02/14/21 05:00 -0600,145
02/14/21 04:00 -0600,198
02/14/21 03:00 -0600,212
02/14/21 02:00 -0600,179
02/14/21 01:00 -0600,137
02/14/21 00:00 -0600,138
02/13/21 23:00 -0600,138
02/13/21 22:00 -0600,157
02/13/21 21:00 -0600,165
02/13/21 20:00 -0600,180
02/13/21 19:00 -0600,138
02/13/21 18:00 -0600,137
02/13/21 17:00 -0600,137
02/13/21 16:00 -0600,137
02/13/21 15:00 -0600,136
02/13/21 14:00 -0600,137
02/13/21 13:00 -0600,128
02/13/21 12:00 -0600,128
02/13/21 11:00 -0600,146
02/13/21 10:00 -0600,111
02/13/21 09:00 -0600,111
02/13/21 08:00 -0600,110
02/13/21 07:00 -0600,108
02/13/21 06:00 -0600,85
02/13/21 05:00 -0600,49
02/13/21 04:00 -0600,47
02/13/21 03:00 -0600,48
02/13/21 02:00 -0600,48
02/13/21 01:00 -0600,72
02/13/21 00:00 -0600,48
02/12/21 23:00 -0600,66
02/12/21 22:00 -0600,95
02/12/21 21:00 -0600,118
02/12/21 20:00 -0600,90
02/12/21 19:00 -0600,47
02/12/21 18:00 -0600,46
02/12/21 17:00 -0600,47
02/12/21 16:00 -0600,46
02/12/21 15:00 -0600,46
02/12/21 14:00 -0600,54
02/12/21 13:00 -0600,89
02/12/21 12:00 -0600,96
02/12/21 11:00 -0600,127
02/12/21 10:00 -0600,98
02/12/21 09:00 -0600,71
02/12/21 08:00 -0600,72
02/12/21 07:00 -0600,64
02/12/21 06:00 -0600,46
02/12/21 05:00 -0600,46
02/12/21 04:00 -0600,46
02/12/21 03:00 -0600,47
02/12/21 02:00 -0600,47
02/12/21 01:00 -0600,71
02/12/21 00:00 -0600,47
02/11/21 23:00 -0600,66
02/11/21 22:00 -0600,94
02/11/21 21:00 -0600,75
02/11/21 20:00 -0600,76
02/11/21 19:00 -0600,47
02/11/21 18:00 -0600,47
02/11/21 17:00 -0600,47
02/11/21 16:00 -0600,47
02/11/21 15:00 -0600,47
02/11/21 14:00 -0600,47
02/11/21 13:00 -0600,55
02/11/21 12:00 -0600,92
02/11/21 11:00 -0600,107
02/11/21 10:00 -0600,72
02/11/21 09:00 -0600,72
02/11/21 08:00 -0600,72
02/11/21 07:00 -0600,69
02/11/21 06:00 -0600,47
02/11/21 05:00 -0600,47
02/11/21 04:00 -0600,46
02/11/21 03:00 -0600,47
02/11/21 02:00 -0600,47
02/11/21 01:00 -0600,71
02/11/21 00:00 -0600,47
02/10/21 23:00 -0600,65
02/10/21 22:00 -0600,93
02/10/21 21:00 -0600,117
02/10/21 20:00 -0600,90
02/10/21 19:00 -0600,47
02/10/21 18:00 -0600,47
02/10/21 17:00 -0600,47
02/10/21 16:00 -0600,47
02/10/21 15:00 -0600,47
02/10/21 14:00 -0600,47
02/10/21 13:00 -0600,89
02/10/21 12:00 -0600,92
02/10/21 11:00 -0600,107
02/10/21 10:00 -0600,72
02/10/21 09:00 -0600,71
02/10/21 08:00 -0600,72
02/10/21 07:00 -0600,72
02/10/21 06:00 -0600,47
02/10/21 05:00 -0600,47
02/10/21 04:00 -0600,47
02/10/21 03:00 -0600,47
02/10/21 02:00 -0600,47
02/10/21 01:00 -0600,71
02/10/21 00:00 -0600,47
02/09/21 23:00 -0600,47
02/09/21 22:00 -0600,49
02/09/21 21:00 -0600,92
02/09/21 20:00 -0600,142
02/09/21 19:00 -0600,85
