Net generation from natural gas for Texas (region) hourly - local time
https://www.eia.gov/opendata/qb.php?category=3390118&sdid=EBA.TEX-ALL.NG.NG.HL
21:34:39 GMT-0600 (CST)
Source: U.S. Energy Information Administration
Category,Series ID: EBA.TEX-ALL.NG.NG.HL megawatthours
02/20/21 00:00 -0600,20181
02/19/21 23:00 -0600,20142
02/19/21 22:00 -0600,20884
02/19/21 21:00 -0600,21559
02/19/21 20:00 -0600,22093
02/19/21 19:00 -0600,21379
02/19/21 18:00 -0600,19267
02/19/21 17:00 -0600,19501
02/19/21 16:00 -0600,20086
02/19/21 15:00 -0600,20750
02/19/21 14:00 -0600,21782
02/19/21 13:00 -0600,23046
02/19/21 12:00 -0600,24645
02/19/21 11:00 -0600,27919
02/19/21 10:00 -0600,31125
02/19/21 09:00 -0600,34764
02/19/21 08:00 -0600,38123
02/19/21 07:00 -0600,37776
02/19/21 06:00 -0600,35239
02/19/21 05:00 -0600,33445
02/19/21 04:00 -0600,31659
02/19/21 03:00 -0600,30938
02/19/21 02:00 -0600,30538
02/19/21 01:00 -0600,30539
02/19/21 00:00 -0600,30883
02/18/21 23:00 -0600,31375
02/18/21 22:00 -0600,32698
02/18/21 21:00 -0600,33149
02/18/21 20:00 -0600,33058
02/18/21 19:00 -0600,32471
02/18/21 18:00 -0600,29191
02/18/21 17:00 -0600,28003
02/18/21 16:00 -0600,28067
02/18/21 15:00 -0600,28299
02/18/21 14:00 -0600,29560
02/18/21 13:00 -0600,30725
02/18/21 12:00 -0600,32574
02/18/21 11:00 -0600,34285
02/18/21 10:00 -0600,34439
02/18/21 09:00 -0600,34770
02/18/21 08:00 -0600,34260
02/18/21 07:00 -0600,33285
02/18/21 06:00 -0600,31675
02/18/21 05:00 -0600,30599
02/18/21 04:00 -0600,30373
02/18/21 03:00 -0600,30630
02/18/21 02:00 -0600,31455
02/18/21 01:00 -0600,31496
02/18/21 00:00 -0600,31881
02/17/21 23:00 -0600,32388
02/17/21 22:00 -0600,32873
02/17/21 21:00 -0600,33463
02/17/21 20:00 -0600,33353
02/17/21 19:00 -0600,32878
02/17/21 18:00 -0600,30412
02/17/21 17:00 -0600,28022
02/17/21 16:00 -0600,26935
02/17/21 15:00 -0600,26814
02/17/21 14:00 -0600,26872
02/17/21 13:00 -0600,27205
02/17/21 12:00 -0600,28605
02/17/21 11:00 -0600,30149
02/17/21 10:00 -0600,30060
02/17/21 09:00 -0600,31233
02/17/21 08:00 -0600,31468
02/17/21 07:00 -0600,30718
02/17/21 06:00 -0600,29922
02/17/21 05:00 -0600,29448
02/17/21 04:00 -0600,29226
02/17/21 03:00 -0600,28861
02/17/21 02:00 -0600,28216
02/17/21 01:00 -0600,28412
02/17/21 00:00 -0600,27918
02/16/21 23:00 -0600,28697
02/16/21 22:00 -0600,29125
02/16/21 21:00 -0600,29757
02/16/21 20:00 -0600,29483
02/16/21 19:00 -0600,29922
02/16/21 18:00 -0600,29988
02/16/21 17:00 -0600,28886
02/16/21 16:00 -0600,27788
02/16/21 15:00 -0600,27241
02/16/21 14:00 -0600,25964
02/16/21 13:00 -0600,26634
02/16/21 12:00 -0600,26676
02/16/21 11:00 -0600,27317
02/16/21 10:00 -0600,28685
02/16/21 09:00 -0600,29690
02/16/21 08:00 -0600,30817
02/16/21 07:00 -0600,29900
02/16/21 06:00 -0600,29113
02/16/21 05:00 -0600,29058
02/16/21 04:00 -0600,30024
02/16/21 03:00 -0600,29812
02/16/21 02:00 -0600,29832
02/16/21 01:00 -0600,29764
02/16/21 00:00 -0600,29882
02/15/21 23:00 -0600,30279
02/15/21 22:00 -0600,31213
02/15/21 21:00 -0600,30832
02/15/21 20:00 -0600,30917
02/15/21 19:00 -0600,31359
02/15/21 18:00 -0600,30641
02/15/21 17:00 -0600,29056
02/15/21 16:00 -0600,28229
02/15/21 15:00 -0600,27542
02/15/21 14:00 -0600,27885
02/15/21 13:00 -0600,28632
02/15/21 12:00 -0600,29575
02/15/21 11:00 -0600,29857
02/15/21 10:00 -0600,30691
02/15/21 09:00 -0600,31454
02/15/21 08:00 -0600,33203
02/15/21 07:00 -0600,33440
02/15/21 06:00 -0600,32609
02/15/21 05:00 -0600,33444
02/15/21 04:00 -0600,33095
02/15/21 03:00 -0600,33096
02/15/21 02:00 -0600,40405
02/15/21 01:00 -0600,42372
02/15/21 00:00 -0600,43013
02/14/21 23:00 -0600,43185
02/14/21 22:00 -0600,43720
02/14/21 21:00 -0600,43967
02/14/21 20:00 -0600,43798
02/14/21 19:00 -0600,43523
02/14/21 18:00 -0600,41042
