Net generation from solar for Texas (region) hourly - local time
https://www.eia.gov/opendata/qb.php?category=3390118&sdid=EBA.TEX-ALL.NG.SUN.HL
22:38:40 GMT-0600 (CST)
Source: U.S. Energy Information Administration
Category,Series ID: EBA.TEX-ALL.NG.SUN.HL megawatthours
02/20/21 00:00 -0600,0
02/19/21 23:00 -0600,0
02/19/21 22:00 -0600,0
02/19/21 21:00 -0600,0
02/19/21 20:00 -0600,0
02/19/21 19:00 -0600,207
02/19/21 18:00 -0600,2253
02/19/21 17:00 -0600,2159
02/19/21 16:00 -0600,2462
02/19/21 15:00 -0600,2735
02/19/21 14:00 -0600,3089
02/19/21 13:00 -0600,3992
02/19/21 12:00 -0600,4366
02/19/21 11:00 -0600,4193
02/19/21 10:00 -0600,3232
02/19/21 09:00 -0600,2025
02/19/21 08:00 -0600,182
02/19/21 07:00 -0600,0
02/19/21 06:00 -0600,0
02/19/21 05:00 -0600,0
02/19/21 04:00 -0600,0
02/19/21 03:00 -0600,0
02/19/21 02:00 -0600,0
02/19/21 01:00 -0600,0
02/19/21 00:00 -0600,0
02/18/21 23:00 -0600,0
02/18/21 22:00 -0600,0
02/18/21 21:00 -0600,0
02/18/21 20:00 -0600,0
02/18/21 19:00 -0600,109
02/18/21 18:00 -0600,1292
02/18/21 17:00 -0600,2668
02/18/21 16:00 -0600,2736
02/18/21 15:00 -0600,2604
02/18/21 14:00 -0600,2234
02/18/21 13:00 -0600,2220
02/18/21 12:00 -0600,1675
02/18/21 11:00 -0600,1168
02/18/21 10:00 -0600,748
02/18/21 09:00 -0600,307
02/18/21 08:00 -0600,25
02/18/21 07:00 -0600,45
02/18/21 06:00 -0600,0
02/18/21 05:00 -0600,0
02/18/21 04:00 -0600,0
02/18/21 03:00 -0600,0
02/18/21 02:00 -0600,0
02/18/21 01:00 -0600,0
02/18/21 00:00 -0600,0
02/17/21 23:00 -0600,0
02/17/21 22:00 -0600,0
02/17/21 21:00 -0600,0
02/17/21 20:00 -0600,0
02/17/21 19:00 -0600,74
02/17/21 18:00 -0600,1106
02/17/21 17:00 -0600,2163
02/17/21 16:00 -0600,2973
02/17/21 15:00 -0600,3281
