Net generation from wind for Texas (region) hourly - local time
https://www.eia.gov/opendata/qb.php?category=3390118&sdid=EBA.TEX-ALL.NG.WND.HL
21:42:01 GMT-0600 (CST)
Source: U.S. Energy Information Administration
Category,Series ID: EBA.TEX-ALL.NG.WND.HL megawatthours
02/20/21 00:00 -0600,12059
02/19/21 23:00 -0600,12074
02/19/21 22:00 -0600,11758
02/19/21 21:00 -0600,10618
02/19/21 20:00 -0600,8909
02/19/21 19:00 -0600,7064
02/19/21 18:00 -0600,6158
02/19/21 17:00 -0600,6283
02/19/21 16:00 -0600,5798
02/19/21 15:00 -0600,5638
02/19/21 14:00 -0600,5137
02/19/21 13:00 -0600,4316
02/19/21 12:00 -0600,3903
02/19/21 11:00 -0600,3407
02/19/21 10:00 -0600,3994
02/19/21 09:00 -0600,4324
02/19/21 08:00 -0600,4501
02/19/21 07:00 -0600,4201
02/19/21 06:00 -0600,4606
02/19/21 05:00 -0600,4652
02/19/21 04:00 -0600,4993
02/19/21 03:00 -0600,5211
02/19/21 02:00 -0600,5431
02/19/21 01:00 -0600,5557
02/19/21 00:00 -0600,5628
02/18/21 23:00 -0600,5571
02/18/21 22:00 -0600,5547
02/18/21 21:00 -0600,5772
02/18/21 20:00 -0600,5997
02/18/21 19:00 -0600,6166
02/18/21 18:00 -0600,6558
02/18/21 17:00 -0600,6717
02/18/21 16:00 -0600,6758
02/18/21 15:00 -0600,6852
02/18/21 14:00 -0600,6644
02/18/21 13:00 -0600,6889
02/18/21 12:00 -0600,6891
02/18/21 11:00 -0600,6633
02/18/21 10:00 -0600,6736
02/18/21 09:00 -0600,5869
02/18/21 08:00 -0600,5646
02/18/21 07:00 -0600,5498
02/18/21 06:00 -0600,5630
02/18/21 05:00 -0600,5436
02/18/21 04:00 -0600,5268
02/18/21 03:00 -0600,4698
02/18/21 02:00 -0600,3946
02/18/21 01:00 -0600,4096
02/18/21 00:00 -0600,3667
02/17/21 23:00 -0600,3698
02/17/21 22:00 -0600,3645
02/17/21 21:00 -0600,3556
02/17/21 20:00 -0600,3776
02/17/21 19:00 -0600,3433
02/17/21 18:00 -0600,2999
02/17/21 17:00 -0600,2745
02/17/21 16:00 -0600,2849
02/17/21 15:00 -0600,2862
02/17/21 14:00 -0600,2764
02/17/21 13:00 -0600,2772
02/17/21 12:00 -0600,2014
02/17/21 11:00 -0600,1430
02/17/21 10:00 -0600,1092
02/17/21 09:00 -0600,734
02/17/21 08:00 -0600,939
02/17/21 07:00 -0600,1226
02/17/21 06:00 -0600,1669
02/17/21 05:00 -0600,2168
02/17/21 04:00 -0600,2466
02/17/21 03:00 -0600,2950
02/17/21 02:00 -0600,3315
02/17/21 01:00 -0600,3115
02/17/21 00:00 -0600,2891
02/16/21 23:00 -0600,2953
02/16/21 22:00 -0600,3271
02/16/21 21:00 -0600,3394
02/16/21 20:00 -0600,3748
02/16/21 19:00 -0600,3694
02/16/21 18:00 -0600,4040
02/16/21 17:00 -0600,4331
02/16/21 16:00 -0600,4337
02/16/21 15:00 -0600,4392
02/16/21 14:00 -0600,4335
02/16/21 13:00 -0600,4108
02/16/21 12:00 -0600,4160
02/16/21 11:00 -0600,4133
02/16/21 10:00 -0600,3922
02/16/21 09:00 -0600,4230
02/16/21 08:00 -0600,4415
02/16/21 07:00 -0600,4397
