"Plant_Code","Plant_Name","Utility_Na","Utility_ID","sector_nam","City","County","StateName","Zip","Street_Add","PrimSource","Install_MW","Total_MW","Coal_MW","NG_MW","Crude_MW","Bio_MW","Hydro_MW","HydroPS_MW","Nuclear_MW","Solar_MW","Wind_MW","Geo_MW","Bat_MW","Other_MW","source_des","tech_desc","Source","Period","Latitude","Longitude"
9,"Copper","El Paso Electric Co",5701,"Electric Utility","El Paso","El Paso","Texas",79915,"651 Hawkins Blvd.","natural gas",86.9,63,0,63,0,NA,0,0,0,0,0,NA,NA,NA,"Natural Gas = 63 MW","Natural Gas Fired Combustion Turbine","EIA-860, EIA-860M and EIA-923",202004,31.7569,-106.375
127,"Oklaunion","Public Service Co of Oklahoma",15474,"Electric Utility","Oklaunion","Wilbarger","Texas",76373,"12567 FM Rd 3430","coal",720,650,650,0,0,NA,0,0,0,0,0,NA,NA,NA,"Coal = 650 MW","Conventional Steam Coal","EIA-860, EIA-860M and EIA-923",202004,34.0825,-99.1753
298,"Limestone","NRG Texas Power LLC",54888,"IPP Non-CHP","Jewett","Limestone","Texas",75846,"Route1, Box 85","coal",1849.8,1689,1689,0,0,NA,0,0,0,0,0,NA,NA,NA,"Coal = 1689 MW","Conventional Steam Coal","EIA-860, EIA-860M and EIA-923",202004,31.4219,-96.2525
791,"Canyon","Guadalupe Blanco River Authority",7751,"Electric Utility","Canyon Lake","Comal","Texas",78155,"16930 South Access Road","hydroelectric",6,6,0,0,0,NA,6,0,0,0,0,NA,NA,NA,"Hydroelectric = 6 MW","Conventional Hydroelectric","EIA-860, EIA-860M and EIA-923",202004,29.87056,-98.194733
794,"Lewisville","City of Garland - (TX)",6958,"Electric Utility","Lewisville","Denton","Texas",75067,"1500 N Mill St","hydroelectric",2.8,2,0,0,0,NA,2,0,0,0,0,NA,NA,NA,"Hydroelectric = 2 MW","Conventional Hydroelectric","EIA-860, EIA-860M and EIA-923",202004,33.068473,-96.963806
3437,"Eagle Pass","Maverick Cty Water Control & Improvement",54683,"IPP Non-CHP","Eagle Pass","Maverick","Texas",78852,"FM 1907 & Del Rio Hwy","hydroelectric",9.6,6,0,0,0,NA,6,0,0,0,0,NA,NA,NA,"Hydroelectric = 6 MW","Conventional Hydroelectric","EIA-860, EIA-860M and EIA-923",202004,28.829535,-100.552234
3439,"Laredo","Talen Texas, LLC",49979,"IPP Non-CHP","Laredo","Webb","Texas",78041,"7300 CPL Rd","natural gas",263.6,177.4,0,177.4,0,NA,0,0,0,0,0,NA,NA,NA,"Natural Gas = 177.4 MW","Natural Gas Fired Combustion Turbine","EIA-860, EIA-860M and EIA-923",202004,27.5667,-99.5089
3441,"Nueces Bay","Talen Texas, LLC",49979,"IPP Non-CHP","Corpus Christi","Nueces","Texas",78403,"2002 Navigation","natural gas",730.2,633,0,633,0,NA,0,0,0,0,0,NA,NA,NA,"Natural Gas = 633 MW","Natural Gas Fired Combined Cycle","EIA-860, EIA-860M and EIA-923",202004,27.819412,-97.419203
3443,"Victoria","Victoria WLE, LP",60638,"IPP Non-CHP","Victoria","Victoria","Texas",77901,"1205 S Bottom St","natural gas",376.9,300,0,300,0,NA,0,0,0,0,0,NA,NA,NA,"Natural Gas = 300 MW","Natural Gas Fired Combined Cycle","EIA-860, EIA-860M and EIA-923",202004,28.7883,-97.01
3452,"Lake Hubbard","Luminant Generation Company LLC",55983,"IPP Non-CHP","Sunnyvale","Dallas","Texas",75182,"555 Barnes Rd","natural gas",927.5,915,0,915,0,NA,0,0,0,0,0,NA,NA,NA,"Natural Gas = 915 MW","Natural Gas Steam Turbine","EIA-860, EIA-860M and EIA-923",202004,32.8358,-96.5458
